รถยนต์PASSENGER CAR/PICK UP,,,image link
A1,"บริษัท ธนบุรีบลูสกาย จำกัด
THONBURI BLUESKY CO., LTD.","ไฟเออร์ฟลาย
FIREFLY",https://bims47.motorshow.in.th/wp-content/uploads/2026/03/LOGO-A1-Firefly.jpg
A1/1,"บริษัท เทสลา (ประเทศไทย) จำกัด
TESLA (THAILAND) CO.,LTD.","เทสล่า
TESLA",https://bims47.motorshow.in.th/wp-content/uploads/2026/03/LOGO-Tesla.jpg
A2,"บริษัท ฟอร์ด เซลล์ แอนด์ เซอร์วิส (ประเทศไทย) จำกัด
FORD SALE AND SERVICE (THAILAND) CO.,LTD.","ฟอร์ด
FORD",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/3.-FORD.png
A3,"บริษัท ตรีเพชรอีซูซุเซลส์ จำกัด
TRI PETCH ISUZU SALES CO.,LTD.","อีซูซุ
ISUZU",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/23.-ISUZU.png
A4,"บริษัท ซีเคอาร์ อินเทลลิเจนท์ เทคโนโลยี (ประเทศไทย) จำกัด
ZEEKR INTELLIGENT TECHNOLOGY (THAILAND) CO., LTD.","ซีคเคอร์
ZEEKR",https://bims47.motorshow.in.th/wp-content/uploads/2024/03/LOGO-Zeekr.jpg
A5,"บริษัท มาสด้า เซลส์ (ประเทศไทย) จำกัด
MAZDA SALES (THAILAND) CO.,LTD.","มาสด้า
MAZDA",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/21.-MAZDA.png
A6,"บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด
TOYOTA MOTOR (THAILAND) CO.,LTD.","โตโยต้า
TOYOTA",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/12.-Toyota.jpeg
A6,"บริษัท โตโยต้า มอเตอร์ ประเทศไทย จำกัด
TOYOTA MOTOR (THAILAND) CO.,LTD.","เล็กซัส
LEXUS",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/A6-lexus.jpg
A7,"บริษัท มิลเลนเนียม กรุ๊ป คอร์ปอเรชั่น (เอเชีย) จำกัด (มหาชน)
Millennium Group Corporation (Asia) Public Company Limited.","เอ็มจีซี
MGC",-
A8,"บริษัท เอ็มจี เซลส์ (ประเทศไทย) จำกัด
MG SALES (THAILAND) CO.,LTD.","เอ็มจี
MG",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/LOGO-MG.jpg
A9,"บริษัท ไมซ์เตอร์ เทคนิค จำกัด
MEISTER TECHNIK COMPANY LIMITED","อาวดี้
AUDI",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/A7-AUDI-logo.jpg
A10,"บริษัท เกรทวอลล์ มอเตอร์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด
GREAT WALL MOTOR MANUFACTURING (THAILAND) CO.,LTD.","เกรท วอลล์ มอเตอร์
GWM",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/GWM_logo.jpg
A11,"บริษัท มิตซูบิชิ มอเตอร์ (ประเทศไทย) จำกัด
MITSUBISHI MOTORS (THAILAND) CO.,LTD.","มิตซูบิชิ
MITSUBISHI",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/LOGO-MITSUBISHI-MOTORS.jpg
A12,"บริษัท ฮุนได โมบิลิตี้ (ประเทศไทย) จำกัด
HYUNDAI MOBILITY (THAILAND) CO., LTD.","ฮุนได
HYUNDAI",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/4.-HYUNDAI.png
A12/1,"บริษัท เกีย เซลส์ (ประเทศไทย) จำกัด
KIA SALES (THAILAND) CO.,LTD.","เกีย
KIA",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/logo-KIA.jpg
A13,"บริษัท นิสสัน มอเตอร์ (ประเทศไทย) จำกัด
NISSAN MOTOR (THAILAND) CO,.LTD.","นิสสัน
NISSAN",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/18.-NISSAN.jpg
A14,"บริษัท บีเอ็มดับเบิลยู (ประเทศไทย) จำกัด
BMW (THAILAND) CO.,LTD.","บีเอ็มดับเบิ้ลยู / มินิ
BMW/ MINI","https://bims47.motorshow.in.th/wp-content/uploads/2023/03/1.-BMW.png
https://bims47.motorshow.in.th/wp-content/uploads/2025/03/2.-MINI.png"
A15,"บริษัท วอลโว่ คาร์ (ประเทศไทย) จำกัด
VOLVO CAR (THAILAND) LTD.","วอลโว่
VOLVO",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/volvo.jpg
A16,"บริษัท พีเอ็ม มีเดีย จำกัด
PM MEDIA CO.,LTD","เดนซ่า
DENZA",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/logo-DENZA.jpg
A17,"บริษัท เอเอเอส ออโต้ อิมพอร์ต จำกัด
AAS AUTO IMPORT CO.,LTD.","ปอร์เช่
PORSCHE",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/A15-Porsche-logo.jpg
A18,"บริษัท พีเอ็ม มีเดีย จำกัด
PM MEDIA CO.,LTD","บีวายดี
BYD",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/BYD-logo.jpg
A19,"บริษัท เมอร์เซเดส-เบนซ์ (ประเทศไทย) จำกัด
MERCEDES-BENZ (THAILAND) LIMITED.","เมอร์เซเดส-เบนซ์
MERCEDES BENZ",https://bims47.motorshow.in.th/wp-content/uploads/2023/03/LOGO-MERCEDES-BENZ.jpg
A20,"บริษัท ไออน ออโตโมบิล เซลส์ (ประเทศไทย) จำกัด
Aion Automobile Sales (Thailand) Co., Ltd","ไอออน
AION",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/gac.jpg
A21,"บริษัท ฉางอาน ออโต้ เซลส์ (ประเทศไทย) จำกัด
CHANGAN AUTO SALES (THAILAND) CO.,LTD.","ดีพอล/อวตาร์
DEEPAL / AVATR","https://bims47.motorshow.in.th/wp-content/uploads/2024/03/logo-DEEPAL.jpg
https://bims47.motorshow.in.th/wp-content/uploads/2026/03/logo-AVATR.jpg"
A22,"บริษัท ฮอนด้า ออโตโมบิล (ประเทศไทย) จำกัด
HONDA AUTOMOBILE (THAILAND) CO.,LTD.","ฮอนด้า
HONDA",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/29.-HONDA.png
A23,"บริษัท ธนบุรี นอยสเติร์น จำกัด
THONBURI NEUSTERN CO., LTD.","จีลี่
GEELY",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/geely-logo.jpg
A24,"บริษัท โอโมดา แอนด์ เจคู (ประเทศไทย) จำกัด
OMODA & JAECOO (Thailand) CO.,LTD.","โอโมดา
OMODA JAECOO",https://bims47.motorshow.in.th/wp-content/uploads/2025/03/OMODA-Jaecoo.jpg
